SNOMED CT
tasks	      explicit implicit  all   ratio of implicit witnesses
(1601,1607） 	545	39	584	6.6%
(1601,1701）	1262	122610	123872	98.9%
(1601,1801） 	14555	124706	139261	89.5%
(1607,1701）	780	111384	112164	99.3%
(1701,1707)	18441	3642	22083	16.5%
(1701,1801）	13902	4394	18296	24.0%
(1707,1801）	7517	4857	12374	39.3%
(1901,1907）	7817	8880	16697	53.2%
(2001,2003）	0	0	0	N/A
(1607,1601）	459	195	654	29.8%
(1701,1601)	897	952	1849	51.5%
(1701,1607)	487	749	1236	60.6%
(1707,1701)	20044	676	20720	32.6%
(1801,1701)	14927	1225	16152	7.6%
(1801,1707)	6987	729	7716	9.4%
(1807,1801)	7430	7545	14975	50.4%
(1901,1801)	14187	62003	76190	81.4%
(1901,1807)	9724	5945	15669	34.9%
(1907,1901)	3992	9159	13151	69.6%
(2007,2003)	3317	3190	6507	49.0%
GO
tasks	      explicit implicit  all   ratio of implicit witnesses
(1802,1803）	531	18	549	3.3%
(1801,1802)	42	1	43	2.3%
(1709,1803)	2307	48	2355	2.0%
(1703,1709)	685	65	750	8.6%
(1703,1803)	2805	123	2928	4.2%
(1603,1703)	9556	1146	10702	10.7%
(1603,1803)	11710	1716	13426	12.8%
(1403,1603)	循环case
(1803,1802)	0	0	0	N/A
(1802,1801)	0	0	0	N/A
(1803,1709)	0	0	0	N/A
(1709,1703)	0	0	0	N/A
(1803,1703)	0	0	0	N/A
(1703,1603)	0	0	0	N/A
(1803,1603)	0	0	0	N/A
(1603,1403)	0	0	0	N/A

